"videoUrl","authorName","author/id","author/isCreator","author/isVerified","author/name","author/thumbnails/0/height","author/thumbnails/0/url","author/thumbnails/0/width","text","likes","timestamp"
,,"UCLTqwN6iYoWvn5yyU4Yh3Nw","false","false","@opikjelek2719","88","https://yt3.ggpht.com/ytc/AIdro_nt2oyYde-6nosceh6Bz_Di8W-sNOH6A4R-u83qg__sFIaHYw-rP5YpNX8o79X1We3LHg=s88-c-k-c0x00ffffff-no-rj","88","di culik apa di tangkap..?",,
,,"UCJMmXCasbOaHYuDjWe3EA0w","false","false","@FaizaSofyan-e8m","88","https://yt3.ggpht.com/ytc/AIdro_lRTWRoJ5Mm1J6dwSFwLZYO2tYqK3zKpN4VbdDGguTxhPP-sB_V7uVUqTAw-NzD5GCobQ=s88-c-k-c0x00ffffff-no-rj","88","Bantu wo, entekan temen si trump dan israel. Itu rakyatmu wo",,
,,"UCdQLjUYury0Aq843Of4jK6A","false","false","@hamitdoang3744","88","https://yt3.ggpht.com/ytc/AIdro_mg_qk25UpUUPhVPvFFz1FkTivULche5MvItdzRZ6uEAA=s88-c-k-c0x00ffffff-no-rj","88","Semoga diberi keselamatan dr penyekapan ini",,
,,"UCU28bT-JcaGah_jSLIJu3kg","false","false","@480prime4","88","https://yt3.ggpht.com/ytc/AIdro_lydX-DL98jfCrvWockQnsuiyk-BIz1Anv1PT2C6e8=s88-c-k-c0x00ffffff-no-rj","88","Pasti Dusta2 jurnalis.... 😂",,
,,"UCTER9vHXo554sP-NRMnrDDQ","false","false","@CikdinHamid","88","https://yt3.ggpht.com/ytc/AIdro_njv5bj96nXZPdVSGWFsAya7ecRhM4u_78FX5cOyq1Aefxs0LYhy-CVDYRCpSNnYeaQwA=s88-c-k-c0x00ffffff-no-rj","88","Israel sudah keterlaluan dunia harus bertindak tegas, israel. Menculik ambil harta orang palestina, Genosida anak ibu2",,
,,"UCVL0N0KyRnIYeWKZ3vwuPqw","false","false","@Mercy_C-class","88","https://yt3.ggpht.com/7GeiSWvAwQK2FFHFmUaX-ghCz_pwFLJ2CeSI2Lm8RvoJjmD_DG0aYNVGQmpplrrMcbri6qK_=s88-c-k-c0x00ffffff-no-rj","88","Pasukan dajjal dilawan... Mana sanggup lawan mereka, kecuali pasukan imam Mahdi, tapi kayanya banyak yg ngk percaya 😂😂😂",,
,,"UC7KEkW4DkJ26u71eVm_mDTg","false","false","@RumahHaimi","88","https://yt3.ggpht.com/ytc/AIdro_kMYxzuoALeklp701_RTTqcGyDmQBNx8RUq7hexDYiJAbjeefA32v6O8iwKUH_tJvomYg=s88-c-k-c0x00ffffff-no-rj","88","israel sama indo g ada hubungan diplomasi langsung + masa perang.. Dan ada to sekelompok org dengan pedenya masuk territory itu. pdhl tentara perdamaian indo aja digasak di daerah netral sama bangsa penjajah",,
,,"UCmowpos0ukkYlwmfvnT2j7Q","false","false","@Imaniman-eq6nm","88","https://yt3.ggpht.com/ytc/AIdro_nK8-2S8Mp_9iHgM6KD_W9H-WTUmsXZHxezS9hOvy8=s88-c-k-c0x00ffffff-no-rj","88","Israhel protes mbg kok begitu..",,
,,"UCLTqwN6iYoWvn5yyU4Yh3Nw","false","false","@opikjelek2719","88","https://yt3.ggpht.com/ytc/AIdro_nt2oyYde-6nosceh6Bz_Di8W-sNOH6A4R-u83qg__sFIaHYw-rP5YpNX8o79X1We3LHg=s88-c-k-c0x00ffffff-no-rj","88","udah tau sedang perang malah mau kesana, kocak😅",,
,,"UCkhgj6rBfwverrhF--DEiCw","false","false","@Kvnokey99","88","https://yt3.ggpht.com/9hNXXi_Q5Fl2b1ozeyktfFzfvg_11x5tuhVjCI29Ti8BR3zqicmfdvllqfXWUxL__jfBJtxH1z0=s88-c-k-c0x00ffffff-no-rj","88","Mampuss....😂😂😂😂",,
,,"UCyhCfHgALoBMQF1O2nVIJpQ","false","false","@leonardhutagaol922","88","https://yt3.ggpht.com/ytc/AIdro_leFFe8KMeL6dviJz4lflNtiouNm3lwAszN8UUFbfSwdMLOPurEgsecMSCzM5JDe-AUAA=s88-c-k-c0x00ffffff-no-rj","88","Diculik? Ah, lebay lu.",,
,,"UCDIWawuOMaPTDLayAvT_7zQ","false","false","@galihardharaja","88","https://yt3.ggpht.com/YRVBUMdNO37Udm5gWMYNzQhfbKLC7JMZT_Fm8CXOhf0U000m4gtGhG88uTjJC8r2CGZ3GjulBQ=s88-c-k-c0x00ffffff-no-rj","88","Ndak ada yg nyuruh mereka ke sono.. sudah tahu Israel tdk pandang bulu walaupun itu pers, akan tetap dihajar oleh mereka..",,
,,"UCsVB4QbrTurv9Xsv_iD1jEQ","false","false","@PUJAWALI_BALI","88","https://yt3.ggpht.com/iFv6gfXJqyVYMvGoJbsiaIn8RumiifkIZCyc03j9MP5Eh_-hwyZ4oM_-PlCj-UWW8otgFfTX1IU=s88-c-k-c0x00ffffff-no-rj","88","Lha..nyari mati. Ngpain pergi kedaerah konflik. Sudah tau Mossad dan IDF itu biadab, gak pandang bulu klo bantai org",,
,,"UCJ-tM_1NLHnLV8WIaJfMBmA","false","false","@michael2705simanjuntak","88","https://yt3.ggpht.com/ytc/AIdro_mc4Y9gQCEiemTFxftMBzkVs4f2dFVKIi2EzfEXVVougJ-byH1unVlcX4jadECPvzh2lg=s88-c-k-c0x00ffffff-no-rj","88","betul kah beritamu ini pak, hoax pula",,
,,"UCI_T8R5AxvvgJTO6ZWt9tYg","false","false","@cemalcemol","88","https://yt3.ggpht.com/ytc/AIdro_ktf9w-_Y-Ykk2WaCOrvRvto-DqwRfZrCwkWm-etOgO-lhcHcpTYkUtyPAuK6d42C4TAw=s88-c-k-c0x00ffffff-no-rj","88","Sebetulnya aneh banget,bilang diculik,tapi masih bisa buat video kayak gini,bikin propaganda  saja,harusnya kalau memasuki wilayah suatu negara ya tidak seenaknya",,
,,"UCX7h8nV3UT6xsh0yaO3DSUw","false","false","@ivankandella8103","88","https://yt3.ggpht.com/ytc/AIdro_lTRfiFPSakYg4RhJ0dUUDf5Fq4pnYA4PCRJF6rzkfguOz9=s88-c-k-c0x00ffffff-no-rj","88","Untung kapalnya tidak dirudal seperti Hamas",,
,,"UCwXDngU_jQ1ubINb1LNNm4w","false","false","@tommiharhutapea7937","88","https://yt3.ggpht.com/ytc/AIdro_mB0AEzuPBnHUnbJ05Kn6OFC0GWil99rk2mq0C8tMcOp8jSTPBxtIYFzdnOER1R9KYpvA=s88-c-k-c0x00ffffff-no-rj","88","Mana ada urus disini masih banyak pengangguran.
Banyak tetangga atau saudara lagi hidup susah 
Sorry..gak minat mending yang dekat dan depan mata saja.",,
